,Date,Price,Open,High,Low,Change %
37,"Nov 24, 2020",257.63,258.45,258.45,256.17,-0.44%
38,"Nov 23, 2020",258.78,258.85,258.88,258.1,-0.03%
39,"Nov 22, 2020",258.85,258.47,258.85,258.46,0.15%
40,"Nov 21, 2020",258.85,258.47,258.85,258.46,0.15%
41,"Nov 20, 2020",258.85,258.47,258.85,258.46,0.15%
42,"Nov 19, 2020",258.47,258.5,258.9,258.31,0.02%
43,"Nov 18, 2020",258.41,258.24,258.49,257.91,0.29%
44,"Nov 17, 2020",257.67,257.72,257.91,257.27,0.03%
45,"Nov 16, 2020",257.6,259.12,259.12,256.95,-0.59%
46,"Nov 15, 2020",259.12,257.82,259.12,257.33,0.63%
47,"Nov 14, 2020",259.12,257.82,259.12,257.33,0.63%
48,"Nov 13, 2020",259.12,257.82,259.12,257.33,0.63%
49,"Nov 12, 2020",257.51,257.03,257.6,256.71,-0.53%
50,"Nov 11, 2020",258.87,256.51,258.87,256.4,0.84%
51,"Nov 10, 2020",256.72,257.01,257.1,256.19,-0.70%
52,"Nov 09, 2020",258.53,258.7,258.9,255.75,0.02%
53,"Nov 08, 2020",258.47,259.4,259.52,258.23,-0.46%
54,"Nov 07, 2020",258.47,259.4,259.52,258.23,-0.46%
55,"Nov 06, 2020",258.47,259.4,259.52,258.23,-0.46%
56,"Nov 05, 2020",259.67,260.03,260.03,259.17,-0.36%
57,"Nov 04, 2020",260.6,260.4,260.83,259.68,0.47%
58,"Nov 03, 2020",259.37,259.86,259.86,258.34,-0.49%
59,"Nov 02, 2020",260.66,259.86,260.66,259.85,0.14%
60,"Nov 01, 2020",260.3,259.93,260.39,259.11,-0.12%
61,"Oct 31, 2020",260.3,259.93,260.39,259.11,-0.12%
62,"Oct 30, 2020",260.3,259.93,260.39,259.11,-0.12%
63,"Oct 29, 2020",260.61,259.58,260.61,259.56,0.56%
64,"Oct 28, 2020",259.17,259.73,260.04,258.78,0.26%
65,"Oct 27, 2020",258.5,257.83,258.5,257.65,0.23%
66,"Oct 26, 2020",257.9,257.98,257.98,257.33,0.46%
67,"Oct 25, 2020",256.71,258.85,258.86,255.8,-0.24%
68,"Oct 24, 2020",256.71,258.85,258.86,255.8,-0.24%
69,"Oct 23, 2020",256.71,258.85,258.86,255.8,-0.24%
70,"Oct 22, 2020",257.34,257.5,257.98,257.33,-0.54%
71,"Oct 21, 2020",258.75,257.36,258.75,257.06,0.30%
72,"Oct 20, 2020",257.98,258.97,258.97,257.77,-0.20%
73,"Oct 19, 2020",258.5,259.4,259.5,258.48,-0.57%
74,"Oct 18, 2020",259.99,259.79,260.24,259.61,0.04%
75,"Oct 17, 2020",259.99,259.79,260.24,259.61,0.04%
76,"Oct 16, 2020",259.99,259.79,260.24,259.61,0.04%
77,"Oct 15, 2020",259.89,259.56,260.57,259.56,0.13%
78,"Oct 14, 2020",259.56,259.23,259.77,259.12,0.24%
79,"Oct 13, 2020",258.95,258.34,259.14,257.94,0.31%
80,"Oct 12, 2020",258.14,257.56,258.14,257.32,0.24%
81,"Oct 11, 2020",257.51,257.53,257.63,257.07,-0.04%
82,"Oct 10, 2020",257.51,257.53,257.63,257.07,-0.04%
83,"Oct 09, 2020",257.51,257.53,257.63,257.07,-0.04%
84,"Oct 08, 2020",257.62,257.5,257.99,257.32,0.06%
85,"Oct 07, 2020",257.47,257.6,257.64,257.01,0.01%
86,"Oct 06, 2020",257.45,257.51,260.0,256.94,-0.08%
87,"Oct 05, 2020",257.65,259.0,259.0,257.33,-0.67%
88,"Oct 04, 2020",259.38,259.21,259.91,258.91,0.27%
