,Date,Price,Open,High,Low,Change %
102,"Sep 20, 2020",81.74,81.17,81.64,81.17,-0.01%
103,"Sep 19, 2020",81.74,81.17,81.64,81.17,-0.01%
104,"Sep 18, 2020",81.74,81.17,81.64,81.17,-0.01%
105,"Sep 17, 2020",81.75,82.14,82.14,81.55,-0.73%
106,"Sep 16, 2020",82.35,82.81,83.0,82.25,-0.90%
107,"Sep 15, 2020",83.1,83.76,83.76,82.82,0.11%
108,"Sep 14, 2020",83.0,83.35,83.35,82.86,-0.52%
109,"Sep 13, 2020",83.43,83.22,83.35,83.22,0.84%
110,"Sep 12, 2020",83.43,83.22,83.35,83.22,0.84%
111,"Sep 11, 2020",83.43,83.22,83.35,83.22,0.84%
112,"Sep 10, 2020",82.74,82.08,82.78,81.77,1.01%
113,"Sep 09, 2020",81.91,82.01,82.48,82.01,0.07%
114,"Sep 08, 2020",81.86,81.21,81.85,81.21,1.03%
115,"Sep 07, 2020",81.02,80.72,81.14,80.62,0.17%
116,"Sep 06, 2020",80.88,80.54,80.99,80.54,0.03%
117,"Sep 05, 2020",80.88,80.54,80.99,80.54,0.03%
118,"Sep 04, 2020",80.88,80.54,80.99,80.54,0.03%
119,"Sep 03, 2020",80.86,80.73,80.9,80.51,0.21%
120,"Sep 02, 2020",80.68,80.22,80.69,80.15,1.24%
121,"Sep 01, 2020",79.69,79.7,80.13,79.38,-0.24%
122,"Aug 31, 2020",79.89,80.1,80.18,79.86,-0.69%
123,"Aug 30, 2020",79.89,80.1,80.18,79.86,-0.69%
124,"Aug 29, 2020",79.89,80.1,80.18,79.86,-0.69%
125,"Aug 28, 2020",79.89,80.1,80.18,79.86,-0.69%
126,"Aug 27, 2020",80.44,80.62,80.9,80.57,-0.29%
127,"Aug 26, 2020",80.68,81.01,81.01,80.5,-0.56%
128,"Aug 25, 2020",81.13,81.76,81.76,81.03,-0.83%
129,"Aug 24, 2020",81.81,81.76,81.97,81.6,0.23%
130,"Aug 23, 2020",81.62,81.08,81.76,81.08,0.47%
131,"Aug 22, 2020",81.62,81.08,81.76,81.08,0.47%
132,"Aug 21, 2020",81.62,81.08,81.76,81.08,0.47%
133,"Aug 20, 2020",81.24,81.51,81.54,81.27,0.01%
134,"Aug 19, 2020",81.22,81.01,81.22,80.96,0.37%
135,"Aug 18, 2020",80.93,81.33,81.33,81.2,-0.75%
136,"Aug 17, 2020",81.54,81.65,81.65,81.15,0.22%
137,"Aug 16, 2020",81.36,81.55,81.69,81.22,-0.57%
138,"Aug 15, 2020",81.36,81.55,81.69,81.22,-0.57%
139,"Aug 14, 2020",81.36,81.55,81.69,81.22,-0.57%
140,"Aug 13, 2020",81.82,82.06,82.11,81.76,-0.34%
141,"Aug 12, 2020",82.11,82.11,82.27,81.99,0.19%
142,"Aug 11, 2020",81.95,82.31,82.31,81.83,-0.46%
143,"Aug 10, 2020",82.33,82.59,82.85,82.23,-0.29%
144,"Aug 09, 2020",82.57,82.03,82.74,82.03,0.28%
145,"Aug 08, 2020",82.57,82.03,82.74,82.03,0.28%
146,"Aug 07, 2020",82.57,82.03,82.74,82.03,0.28%
147,"Aug 06, 2020",82.34,82.26,82.42,81.79,0.49%
148,"Aug 05, 2020",81.94,82.22,82.29,81.93,-0.45%
149,"Aug 04, 2020",82.31,82.13,82.74,82.13,0.26%
150,"Aug 03, 2020",82.1,82.01,82.31,81.9,0.53%
151,"Aug 02, 2020",81.66,81.74,82.03,81.29,-0.75%
152,"Aug 01, 2020",81.66,81.74,82.03,81.29,-0.75%
153,"Jul 31, 2020",81.66,81.74,82.03,81.29,-0.75%
154,"Jul 30, 2020",82.28,82.77,82.77,82.16,-0.26%
155,"Jul 29, 2020",82.5,82.51,82.57,82.29,-0.16%
156,"Jul 28, 2020",82.63,83.51,83.51,82.51,-0.54%
157,"Jul 27, 2020",83.07,83.21,83.53,82.96,-0.35%
158,"Jul 26, 2020",83.37,84.19,84.19,83.21,-0.28%
159,"Jul 25, 2020",83.37,84.19,84.19,83.21,-0.28%
160,"Jul 24, 2020",83.37,84.19,84.19,83.21,-0.28%
161,"Jul 23, 2020",83.6,83.66,83.96,83.63,-0.05%
162,"Jul 22, 2020",83.64,83.84,83.99,83.68,0.22%
163,"Jul 21, 2020",83.46,83.47,83.64,83.32,-0.15%
164,"Jul 20, 2020",83.58,84.13,84.13,83.48,-0.70%
165,"Jul 19, 2020",84.17,83.99,84.34,83.97,0.66%
166,"Jul 18, 2020",84.17,83.99,84.34,83.97,0.66%
167,"Jul 17, 2020",84.17,83.99,84.34,83.97,0.66%
168,"Jul 16, 2020",83.61,83.58,83.87,83.58,0.29%
169,"Jul 15, 2020",83.37,83.66,83.67,83.22,-0.25%
