,Date,Price,Open,High,Low,Change %
92,"Sep 30, 2020",187.43,187.43,187.43,187.43,0.37%
93,"Sep 29, 2020",186.74,186.74,186.74,186.74,-0.85%
94,"Sep 28, 2020",188.34,188.34,188.34,188.34,2.75%
95,"Sep 27, 2020",183.3,183.3,183.3,183.3,0.16%
96,"Sep 26, 2020",183.3,183.3,183.3,183.3,0.16%
97,"Sep 25, 2020",183.3,183.3,183.3,183.3,0.16%
98,"Sep 24, 2020",183.3,183.3,183.3,183.3,0.16%
99,"Sep 23, 2020",183.0,183.0,183.0,183.0,-1.43%
100,"Sep 22, 2020",185.66,185.66,185.66,185.66,1.01%
101,"Sep 21, 2020",183.81,183.81,183.81,183.81,-0.75%
102,"Sep 20, 2020",185.19,185.19,185.19,185.19,-1.08%
103,"Sep 19, 2020",185.19,185.19,185.19,185.19,-1.08%
104,"Sep 18, 2020",185.19,185.19,185.19,185.19,-1.08%
105,"Sep 17, 2020",187.22,187.22,187.22,187.22,-0.65%
106,"Sep 16, 2020",188.44,188.44,188.44,188.44,0.00%
107,"Sep 15, 2020",188.44,188.44,188.44,188.44,0.76%
108,"Sep 14, 2020",187.02,187.02,187.02,187.02,1.11%
109,"Sep 13, 2020",184.96,184.96,184.96,184.96,-1.59%
110,"Sep 12, 2020",184.96,184.96,184.96,184.96,-1.59%
111,"Sep 11, 2020",184.96,184.96,184.96,184.96,-1.59%
112,"Sep 10, 2020",184.96,184.96,184.96,184.96,-1.59%
113,"Sep 09, 2020",187.95,187.95,187.95,187.95,1.63%
114,"Sep 08, 2020",184.93,184.93,184.93,184.93,-1.97%
115,"Sep 07, 2020",188.65,188.65,188.65,188.65,0.14%
116,"Sep 06, 2020",188.39,188.39,188.39,188.39,-0.84%
117,"Sep 05, 2020",188.39,188.39,188.39,188.39,-0.84%
118,"Sep 04, 2020",188.39,188.39,188.39,188.39,-0.84%
119,"Sep 03, 2020",189.99,189.99,189.99,189.99,-2.69%
120,"Sep 02, 2020",195.24,195.24,195.24,195.24,2.14%
121,"Sep 01, 2020",191.15,191.15,191.15,191.15,0.45%
122,"Aug 31, 2020",190.29,190.29,190.29,190.29,-0.57%
123,"Aug 30, 2020",191.38,191.38,191.38,191.38,0.78%
124,"Aug 29, 2020",191.38,191.38,191.38,191.38,0.78%
125,"Aug 28, 2020",191.38,191.38,191.38,191.38,0.78%
126,"Aug 27, 2020",189.89,189.89,189.89,189.89,1.69%
127,"Aug 26, 2020",189.89,189.89,189.89,189.89,1.69%
128,"Aug 25, 2020",189.89,189.89,189.89,189.89,1.69%
129,"Aug 24, 2020",186.74,186.74,186.74,186.74,0.18%
130,"Aug 23, 2020",186.74,186.74,186.74,186.74,0.18%
131,"Aug 22, 2020",186.74,186.74,186.74,186.74,0.18%
132,"Aug 21, 2020",186.74,186.74,186.74,186.74,0.18%
133,"Aug 20, 2020",186.74,186.74,186.74,186.74,0.18%
134,"Aug 19, 2020",186.4,186.4,186.4,186.4,-0.03%
135,"Aug 18, 2020",186.45,186.45,186.45,186.45,-0.12%
136,"Aug 17, 2020",186.67,186.67,186.67,186.67,-0.01%
137,"Aug 16, 2020",186.69,186.69,186.69,186.69,-0.17%
138,"Aug 15, 2020",186.69,186.69,186.69,186.69,-0.17%
139,"Aug 14, 2020",186.69,186.69,186.69,186.69,-0.17%
140,"Aug 13, 2020",187.01,187.01,187.01,187.01,-0.33%
141,"Aug 12, 2020",187.62,187.62,187.62,187.62,1.13%
142,"Aug 11, 2020",185.52,185.52,185.52,185.52,-0.05%
143,"Aug 10, 2020",185.61,185.61,185.61,185.61,0.40%
144,"Aug 09, 2020",184.87,184.87,184.87,184.87,0.30%
145,"Aug 08, 2020",184.87,184.87,184.87,184.87,0.30%
146,"Aug 07, 2020",184.87,184.87,184.87,184.87,0.30%
147,"Aug 06, 2020",184.31,184.31,184.31,184.31,0.42%
