,Date,Price,Open,High,Low,Change %
40,"Nov 21, 2020",92.39,92.34,92.43,92.21,0.11%
41,"Nov 20, 2020",92.39,92.34,92.43,92.21,0.11%
42,"Nov 19, 2020",92.29,92.56,92.72,92.24,-0.03%
43,"Nov 18, 2020",92.32,92.44,92.51,92.21,-0.11%
44,"Nov 17, 2020",92.42,92.49,92.61,92.27,-0.24%
45,"Nov 16, 2020",92.64,92.72,92.84,92.46,-0.12%
46,"Nov 15, 2020",92.75,92.95,93.0,92.71,-0.23%
47,"Nov 14, 2020",92.75,92.95,93.0,92.71,-0.23%
48,"Nov 13, 2020",92.75,92.95,93.0,92.71,-0.23%
49,"Nov 12, 2020",92.96,93.01,93.14,92.78,-0.09%
50,"Nov 11, 2020",93.04,92.7,93.21,92.61,0.31%
51,"Nov 10, 2020",92.75,92.76,92.97,92.6,0.03%
52,"Nov 09, 2020",92.72,92.23,92.96,92.13,0.53%
53,"Nov 08, 2020",92.23,92.57,92.82,92.18,-0.32%
54,"Nov 07, 2020",92.23,92.57,92.82,92.18,-0.32%
55,"Nov 06, 2020",92.23,92.57,92.82,92.18,-0.32%
56,"Nov 05, 2020",92.53,93.34,93.55,92.48,-0.94%
57,"Nov 04, 2020",93.41,93.09,94.3,93.09,-0.15%
58,"Nov 03, 2020",93.55,94.05,94.05,93.29,-0.62%
59,"Nov 02, 2020",94.13,93.89,94.28,93.89,0.10%
60,"Nov 01, 2020",94.04,93.92,94.08,93.65,0.10%
61,"Oct 31, 2020",94.04,93.92,94.08,93.65,0.10%
62,"Oct 30, 2020",94.04,93.92,94.08,93.65,0.10%
63,"Oct 29, 2020",93.95,93.46,94.1,93.33,0.58%
64,"Oct 28, 2020",93.41,93.15,93.64,93.05,0.51%
65,"Oct 27, 2020",92.94,93.07,93.13,92.79,-0.12%
66,"Oct 26, 2020",93.05,92.76,93.11,92.74,0.30%
67,"Oct 25, 2020",92.77,92.93,93.13,92.66,-0.19%
68,"Oct 24, 2020",92.77,92.93,93.13,92.66,-0.19%
69,"Oct 23, 2020",92.77,92.93,93.13,92.66,-0.19%
70,"Oct 22, 2020",92.95,92.67,92.97,92.61,0.37%
71,"Oct 21, 2020",92.61,93.05,93.07,92.47,-0.49%
72,"Oct 20, 2020",93.07,93.42,93.5,93.0,-0.39%
73,"Oct 19, 2020",93.43,93.72,93.77,93.21,-0.27%
74,"Oct 18, 2020",93.68,93.8,93.88,93.53,-0.19%
75,"Oct 17, 2020",93.68,93.8,93.88,93.53,-0.19%
76,"Oct 16, 2020",93.68,93.8,93.88,93.53,-0.19%
77,"Oct 15, 2020",93.86,93.43,93.9,93.37,0.51%
78,"Oct 14, 2020",93.38,93.54,93.67,93.25,-0.16%
79,"Oct 13, 2020",93.53,93.03,93.6,93.03,0.51%
80,"Oct 12, 2020",93.06,93.06,93.24,93.01,0.00%
81,"Oct 11, 2020",93.06,93.56,93.59,93.0,-0.59%
82,"Oct 10, 2020",93.06,93.56,93.59,93.0,-0.59%
83,"Oct 09, 2020",93.06,93.56,93.59,93.0,-0.59%
84,"Oct 08, 2020",93.61,93.61,93.78,93.5,-0.02%
85,"Oct 07, 2020",93.63,93.83,93.9,93.56,-0.06%
86,"Oct 06, 2020",93.69,93.44,93.85,93.33,0.19%
87,"Oct 05, 2020",93.51,93.81,93.87,93.37,-0.35%
88,"Oct 04, 2020",93.84,93.73,94.03,93.69,0.14%
89,"Oct 03, 2020",93.84,93.73,94.03,93.69,0.14%
90,"Oct 02, 2020",93.84,93.73,94.03,93.69,0.14%
91,"Oct 01, 2020",93.71,93.8,93.92,93.53,-0.19%
92,"Sep 30, 2020",93.89,93.85,94.19,93.67,0.00%
93,"Sep 29, 2020",93.89,94.24,94.3,93.82,-0.41%
94,"Sep 28, 2020",94.28,94.58,94.64,94.15,-0.38%
95,"Sep 27, 2020",94.64,94.32,94.74,94.19,0.31%
96,"Sep 26, 2020",94.64,94.32,94.74,94.19,0.31%
97,"Sep 25, 2020",94.64,94.32,94.74,94.19,0.31%
98,"Sep 24, 2020",94.35,94.38,94.59,94.2,-0.04%
99,"Sep 23, 2020",94.39,93.99,94.43,93.93,0.43%
100,"Sep 22, 2020",93.99,93.55,94.08,93.47,0.35%
101,"Sep 21, 2020",93.66,93.0,93.78,92.75,0.79%
102,"Sep 20, 2020",92.93,92.86,93.01,92.77,-0.04%
103,"Sep 19, 2020",92.93,92.86,93.01,92.77,-0.04%
104,"Sep 18, 2020",92.93,92.86,93.01,92.77,-0.04%
105,"Sep 17, 2020",92.97,93.15,93.59,92.87,-0.26%
106,"Sep 16, 2020",93.21,93.08,93.28,92.78,0.17%
107,"Sep 15, 2020",93.05,93.06,93.14,92.78,0.00%
108,"Sep 14, 2020",93.05,93.29,93.33,92.87,-0.30%
109,"Sep 13, 2020",93.33,93.33,93.38,93.1,-0.01%
110,"Sep 12, 2020",93.33,93.33,93.38,93.1,-0.01%
111,"Sep 11, 2020",93.33,93.33,93.38,93.1,-0.01%
112,"Sep 10, 2020",93.34,93.23,93.45,92.7,0.10%
113,"Sep 09, 2020",93.25,93.58,93.66,93.14,-0.20%
114,"Sep 08, 2020",93.44,93.05,93.52,93.0,0.78%
115,"Sep 07, 2020",92.72,92.97,93.09,92.72,0.00%
116,"Sep 06, 2020",92.72,92.8,93.24,92.66,-0.02%
117,"Sep 05, 2020",92.72,92.8,93.24,92.66,-0.02%
118,"Sep 04, 2020",92.72,92.8,93.24,92.66,-0.02%
119,"Sep 03, 2020",92.74,92.66,93.07,92.65,-0.12%
120,"Sep 02, 2020",92.85,92.28,92.87,92.21,0.55%
121,"Sep 01, 2020",92.34,92.18,92.4,91.75,0.22%
122,"Aug 31, 2020",92.14,92.3,92.48,91.99,-0.25%
123,"Aug 30, 2020",92.37,93.02,93.1,92.2,-0.68%
124,"Aug 29, 2020",92.37,93.02,93.1,92.2,-0.68%
125,"Aug 28, 2020",92.37,93.02,93.1,92.2,-0.68%
126,"Aug 27, 2020",93.0,92.85,93.32,92.42,-0.01%
127,"Aug 26, 2020",93.01,93.02,93.36,92.85,-0.01%
128,"Aug 25, 2020",93.02,93.28,93.35,92.97,-0.30%
129,"Aug 24, 2020",93.3,93.2,93.34,92.84,0.05%
130,"Aug 23, 2020",93.25,92.72,93.47,92.58,0.50%
131,"Aug 22, 2020",93.25,92.72,93.47,92.58,0.50%
132,"Aug 21, 2020",93.25,92.72,93.47,92.58,0.50%
133,"Aug 20, 2020",92.79,92.96,93.24,92.73,-0.11%
134,"Aug 19, 2020",92.89,92.28,93.05,92.15,0.67%
135,"Aug 18, 2020",92.27,92.82,92.82,92.13,-0.62%
136,"Aug 17, 2020",92.85,93.09,93.12,92.77,-0.27%
137,"Aug 16, 2020",93.1,93.22,93.41,93.02,-0.25%
138,"Aug 15, 2020",93.1,93.22,93.41,93.02,-0.25%
139,"Aug 14, 2020",93.1,93.22,93.41,93.02,-0.25%
140,"Aug 13, 2020",93.33,93.36,93.39,92.93,-0.12%
141,"Aug 12, 2020",93.44,93.68,93.91,93.27,-0.20%
142,"Aug 11, 2020",93.63,93.6,93.74,93.17,0.05%
143,"Aug 10, 2020",93.58,93.39,93.69,93.3,0.15%
144,"Aug 09, 2020",93.44,92.81,93.62,92.76,0.70%
145,"Aug 08, 2020",93.44,92.81,93.62,92.76,0.70%
146,"Aug 07, 2020",93.44,92.81,93.62,92.76,0.70%
147,"Aug 06, 2020",92.79,92.77,93.09,92.52,-0.09%
148,"Aug 05, 2020",92.87,93.23,93.25,92.56,-0.55%
149,"Aug 04, 2020",93.38,93.56,93.83,93.23,-0.17%
150,"Aug 03, 2020",93.54,93.45,93.99,93.32,0.20%
151,"Aug 02, 2020",93.35,92.82,93.54,92.55,0.35%
152,"Aug 01, 2020",93.35,92.82,93.54,92.55,0.35%
153,"Jul 31, 2020",93.35,92.82,93.54,92.55,0.35%
154,"Jul 30, 2020",93.02,93.32,93.68,92.93,-0.46%
155,"Jul 29, 2020",93.45,93.75,93.8,93.18,-0.27%
156,"Jul 28, 2020",93.7,93.58,94.01,93.49,0.03%
157,"Jul 27, 2020",93.67,94.35,94.42,93.48,-0.82%
158,"Jul 26, 2020",94.44,94.77,94.83,94.33,-0.26%
159,"Jul 25, 2020",94.44,94.77,94.83,94.33,-0.26%
160,"Jul 24, 2020",94.44,94.77,94.83,94.33,-0.26%
161,"Jul 23, 2020",94.69,94.98,95.18,94.59,-0.32%
162,"Jul 22, 2020",94.99,95.13,95.41,94.83,-0.14%
163,"Jul 21, 2020",95.12,95.75,95.92,95.05,-0.74%
164,"Jul 20, 2020",95.83,96.01,96.18,95.73,-0.11%
165,"Jul 19, 2020",95.94,96.28,96.33,95.9,-0.43%
166,"Jul 18, 2020",95.94,96.28,96.33,95.9,-0.43%
167,"Jul 17, 2020",95.94,96.28,96.33,95.9,-0.43%
168,"Jul 16, 2020",96.35,96.0,96.4,95.89,0.28%
169,"Jul 15, 2020",96.08,96.17,96.25,95.78,-0.19%
170,"Jul 14, 2020",96.26,96.54,96.7,96.18,-0.21%
171,"Jul 13, 2020",96.46,96.66,96.68,96.27,-0.20%
172,"Jul 12, 2020",96.65,96.75,96.97,96.44,-0.05%
173,"Jul 11, 2020",96.65,96.75,96.97,96.44,-0.05%
174,"Jul 10, 2020",96.65,96.75,96.97,96.44,-0.05%
175,"Jul 09, 2020",96.7,96.45,96.81,96.23,0.28%
176,"Jul 08, 2020",96.43,96.99,97.05,96.4,-0.46%
177,"Jul 07, 2020",96.88,96.75,97.15,96.6,0.17%
178,"Jul 06, 2020",96.72,97.15,97.19,96.57,-0.46%
179,"Jul 05, 2020",97.17,97.22,97.36,97.12,-0.15%
180,"Jul 04, 2020",97.17,97.22,97.36,97.12,-0.15%
181,"Jul 03, 2020",97.17,97.22,97.36,97.12,-0.15%
182,"Jul 02, 2020",97.32,97.14,97.34,96.81,0.12%
183,"Jul 01, 2020",97.2,97.39,97.62,97.03,-0.20%
184,"Jun 30, 2020",97.39,97.4,97.8,97.23,-0.15%
185,"Jun 29, 2020",97.54,97.5,97.65,97.11,0.11%
186,"Jun 28, 2020",97.43,97.35,97.68,97.26,0.00%
187,"Jun 27, 2020",97.43,97.35,97.68,97.26,0.00%
188,"Jun 26, 2020",97.43,97.35,97.68,97.26,0.00%
189,"Jun 25, 2020",97.43,97.24,97.6,97.16,0.29%
190,"Jun 24, 2020",97.15,96.66,97.24,96.55,0.52%
191,"Jun 23, 2020",96.65,96.93,97.25,96.39,-0.40%
192,"Jun 22, 2020",97.04,97.66,97.74,97.0,-0.59%
193,"Jun 21, 2020",97.62,97.42,97.72,97.16,0.21%
194,"Jun 20, 2020",97.62,97.42,97.72,97.16,0.21%
195,"Jun 19, 2020",97.62,97.42,97.72,97.16,0.21%
196,"Jun 18, 2020",97.42,97.08,97.58,96.95,0.27%
197,"Jun 17, 2020",97.16,97.01,97.34,96.8,0.21%
198,"Jun 16, 2020",96.96,96.56,97.25,96.43,0.26%
199,"Jun 15, 2020",96.71,97.09,97.39,96.6,-0.63%
200,"Jun 14, 2020",97.32,96.81,97.45,96.49,0.61%
201,"Jun 13, 2020",97.32,96.81,97.45,96.49,0.61%
202,"Jun 12, 2020",97.32,96.81,97.45,96.49,0.61%
203,"Jun 11, 2020",96.73,96.09,96.83,95.95,0.80%
204,"Jun 10, 2020",95.96,96.43,96.46,95.72,-0.37%
205,"Jun 09, 2020",96.32,96.63,97.06,96.23,-0.31%
206,"Jun 08, 2020",96.62,96.84,97.07,96.6,-0.33%
207,"Jun 07, 2020",96.94,96.74,97.03,96.44,0.27%
208,"Jun 06, 2020",96.94,96.74,97.03,96.44,0.27%
209,"Jun 05, 2020",96.94,96.74,97.03,96.44,0.27%
210,"Jun 04, 2020",96.68,97.32,97.63,96.57,-0.62%
211,"Jun 03, 2020",97.28,97.57,97.63,97.19,-0.40%
212,"Jun 02, 2020",97.67,97.84,97.91,97.43,-0.16%
213,"Jun 01, 2020",97.83,98.3,98.32,97.79,-0.52%
214,"May 31, 2020",98.34,98.52,98.55,97.94,-0.04%
215,"May 30, 2020",98.34,98.52,98.55,97.94,-0.04%
216,"May 29, 2020",98.34,98.52,98.55,97.94,-0.04%
217,"May 28, 2020",98.38,98.91,99.09,98.35,-0.69%
218,"May 27, 2020",99.06,99.02,99.34,98.72,0.15%
219,"May 26, 2020",98.91,99.77,99.77,98.9,-0.95%
220,"May 25, 2020",99.86,99.8,99.97,99.69,0.00%
221,"May 24, 2020",99.86,99.42,99.87,99.39,0.49%
222,"May 23, 2020",99.86,99.42,99.87,99.39,0.49%
223,"May 22, 2020",99.86,99.42,99.87,99.39,0.49%
224,"May 21, 2020",99.37,99.17,99.51,99.02,0.25%
225,"May 20, 2020",99.12,99.55,99.56,99.0,-0.25%
226,"May 19, 2020",99.37,99.62,99.73,99.23,-0.30%
227,"May 18, 2020",99.67,100.36,100.47,99.58,-0.73%
228,"May 17, 2020",100.4,100.26,100.49,100.08,-0.07%
229,"May 16, 2020",100.4,100.26,100.49,100.08,-0.07%
230,"May 15, 2020",100.4,100.26,100.49,100.08,-0.07%
231,"May 14, 2020",100.47,100.19,100.56,100.15,0.23%
232,"May 13, 2020",100.24,100.01,100.28,99.58,0.31%
233,"May 12, 2020",99.93,100.23,100.44,99.66,-0.31%
234,"May 11, 2020",100.24,99.12,100.28,99.12,0.51%
235,"May 10, 2020",99.73,99.84,99.94,99.1,-0.16%
236,"May 09, 2020",99.73,99.84,99.94,99.1,-0.16%
237,"May 08, 2020",99.73,99.84,99.94,99.1,-0.16%
238,"May 07, 2020",99.89,100.21,100.4,99.81,-0.20%
239,"May 06, 2020",100.09,99.8,100.2,99.75,0.38%
240,"May 05, 2020",99.71,99.51,99.97,99.3,0.23%
241,"May 04, 2020",99.48,98.56,99.6,98.56,0.40%
242,"May 03, 2020",99.08,99.13,99.21,98.64,0.06%
243,"May 02, 2020",99.08,99.13,99.21,98.64,0.06%
244,"May 01, 2020",99.08,99.13,99.21,98.64,0.06%
245,"Apr 30, 2020",99.02,99.48,99.72,98.81,-0.54%
246,"Apr 29, 2020",99.56,99.88,99.89,99.47,-0.30%
247,"Apr 28, 2020",99.86,100.06,100.21,99.45,-0.18%
248,"Apr 27, 2020",100.04,100.23,100.32,99.83,-0.34%
249,"Apr 26, 2020",100.38,100.5,100.87,100.19,-0.05%
250,"Apr 25, 2020",100.38,100.5,100.87,100.19,-0.05%
251,"Apr 24, 2020",100.38,100.5,100.87,100.19,-0.05%
252,"Apr 23, 2020",100.43,100.45,100.69,100.04,0.04%
253,"Apr 22, 2020",100.39,100.21,100.5,99.9,0.13%
254,"Apr 21, 2020",100.26,99.94,100.48,99.93,0.31%
255,"Apr 20, 2020",99.95,99.71,100.07,99.65,0.17%
256,"Apr 19, 2020",99.78,99.86,100.29,99.62,-0.25%
257,"Apr 18, 2020",99.78,99.86,100.29,99.62,-0.25%
258,"Apr 17, 2020",99.78,99.86,100.29,99.62,-0.25%
259,"Apr 16, 2020",100.03,99.63,100.3,99.61,0.57%
260,"Apr 15, 2020",99.46,98.82,99.98,98.82,0.58%
261,"Apr 14, 2020",98.89,99.38,99.43,98.83,-0.46%
262,"Apr 13, 2020",99.35,99.49,99.63,99.14,-0.17%
263,"Apr 12, 2020",99.52,99.58,99.63,99.36,0.00%
264,"Apr 11, 2020",99.52,99.58,99.63,99.36,0.00%
265,"Apr 10, 2020",99.52,99.58,99.63,99.36,0.00%
266,"Apr 09, 2020",99.52,100.13,100.3,99.36,-0.60%
267,"Apr 08, 2020",100.12,99.91,100.43,99.9,0.22%
268,"Apr 07, 2020",99.9,100.75,100.79,99.77,-0.78%
269,"Apr 06, 2020",100.69,100.66,100.93,100.47,0.11%
270,"Apr 05, 2020",100.58,100.2,100.85,100.14,0.40%
271,"Apr 04, 2020",100.58,100.2,100.85,100.14,0.40%
272,"Apr 03, 2020",100.58,100.2,100.85,100.14,0.40%
273,"Apr 02, 2020",100.18,99.51,100.41,99.33,0.51%
274,"Apr 01, 2020",99.67,99.01,99.84,98.91,0.63%
275,"Mar 31, 2020",99.05,99.25,99.95,98.89,-0.13%
276,"Mar 30, 2020",99.18,98.31,99.32,98.29,0.83%
277,"Mar 29, 2020",98.36,99.29,99.81,98.27,-1.00%
278,"Mar 28, 2020",98.36,99.29,99.81,98.27,-1.00%
279,"Mar 27, 2020",98.36,99.29,99.81,98.27,-1.00%
280,"Mar 26, 2020",99.35,100.96,101.02,99.24,-1.68%
281,"Mar 25, 2020",101.05,101.6,101.91,100.84,-0.97%
282,"Mar 24, 2020",102.04,102.13,102.21,101.05,-0.44%
283,"Mar 23, 2020",102.49,101.95,102.98,101.65,-0.32%
284,"Mar 22, 2020",102.82,102.94,102.99,101.09,0.07%
285,"Mar 21, 2020",102.82,102.94,102.99,101.09,0.07%
286,"Mar 20, 2020",102.82,102.94,102.99,101.09,0.07%
287,"Mar 19, 2020",102.75,100.79,102.94,100.77,1.57%
288,"Mar 18, 2020",101.16,99.38,101.74,99.15,1.59%
289,"Mar 17, 2020",99.58,98.14,99.83,97.98,1.54%
290,"Mar 16, 2020",98.07,98.7,98.7,97.45,-0.69%
291,"Mar 15, 2020",98.75,97.45,98.81,97.33,1.31%
292,"Mar 14, 2020",98.75,97.45,98.81,97.33,1.31%
293,"Mar 13, 2020",98.75,97.45,98.81,97.33,1.31%
294,"Mar 12, 2020",97.47,96.65,98.31,96.08,0.99%
295,"Mar 11, 2020",96.51,96.33,96.69,95.91,0.10%
296,"Mar 10, 2020",96.41,95.34,96.58,95.23,1.60%
297,"Mar 09, 2020",94.89,96.11,95.79,94.65,-1.10%
298,"Mar 08, 2020",95.95,96.61,96.7,95.71,-0.90%
299,"Mar 07, 2020",95.95,96.61,96.7,95.71,-0.90%
300,"Mar 06, 2020",95.95,96.61,96.7,95.71,-0.90%
301,"Mar 05, 2020",96.82,97.38,97.44,96.52,-0.53%
302,"Mar 04, 2020",97.34,97.17,97.59,97.12,0.20%
303,"Mar 03, 2020",97.15,97.56,97.69,96.98,-0.22%
304,"Mar 02, 2020",97.36,98.12,98.12,97.18,-0.78%
305,"Mar 01, 2020",98.13,98.42,98.66,97.96,-0.39%
306,"Feb 29, 2020",98.13,98.42,98.66,97.96,-0.39%
307,"Feb 28, 2020",98.13,98.42,98.66,97.96,-0.39%
308,"Feb 27, 2020",98.51,99.02,99.05,98.36,-0.49%
309,"Feb 26, 2020",99.0,99.08,99.27,98.91,0.03%
310,"Feb 25, 2020",98.97,99.33,99.39,98.88,-0.39%
311,"Feb 24, 2020",99.36,99.34,99.64,99.11,0.10%
312,"Feb 23, 2020",99.26,99.86,99.87,99.23,-0.60%
313,"Feb 22, 2020",99.26,99.86,99.87,99.23,-0.60%
314,"Feb 21, 2020",99.26,99.86,99.87,99.23,-0.60%
315,"Feb 20, 2020",99.86,99.54,99.91,99.53,0.16%
316,"Feb 19, 2020",99.7,99.43,99.72,99.38,0.26%
317,"Feb 18, 2020",99.44,99.19,99.47,99.14,0.44%
318,"Feb 17, 2020",99.0,99.16,99.21,99.0,-0.12%
319,"Feb 16, 2020",99.12,99.12,99.17,99.0,0.05%
320,"Feb 15, 2020",99.12,99.12,99.17,99.0,0.05%
321,"Feb 14, 2020",99.12,99.12,99.17,99.0,0.05%
322,"Feb 13, 2020",99.07,98.99,99.11,98.85,0.02%
323,"Feb 12, 2020",99.05,98.77,99.05,98.7,0.33%
324,"Feb 11, 2020",98.72,98.86,98.95,98.71,-0.11%
325,"Feb 10, 2020",98.83,98.7,98.88,98.6,0.15%
326,"Feb 09, 2020",98.68,98.46,98.72,98.42,0.18%
327,"Feb 08, 2020",98.68,98.46,98.72,98.42,0.18%
328,"Feb 07, 2020",98.68,98.46,98.72,98.42,0.18%
329,"Feb 06, 2020",98.5,98.29,98.57,98.21,0.20%
330,"Feb 05, 2020",98.3,97.94,98.32,97.9,0.35%
331,"Feb 04, 2020",97.96,97.82,98.01,97.79,0.16%
332,"Feb 03, 2020",97.8,97.37,97.89,97.37,0.42%
333,"Feb 02, 2020",97.39,97.87,97.97,97.35,-0.49%
334,"Feb 01, 2020",97.39,97.87,97.97,97.35,-0.49%
335,"Jan 31, 2020",97.39,97.87,97.97,97.35,-0.49%
336,"Jan 30, 2020",97.87,98.03,98.07,97.79,-0.12%
337,"Jan 29, 2020",97.99,97.95,98.19,97.94,-0.03%
338,"Jan 28, 2020",98.02,97.95,98.16,97.9,0.06%
339,"Jan 27, 2020",97.96,97.88,98.0,97.78,0.11%
340,"Jan 26, 2020",97.85,97.72,97.95,97.67,0.16%
341,"Jan 25, 2020",97.85,97.72,97.95,97.67,0.16%
342,"Jan 24, 2020",97.85,97.72,97.95,97.67,0.16%
343,"Jan 23, 2020",97.69,97.48,97.8,97.43,0.16%
344,"Jan 22, 2020",97.53,97.62,97.69,97.44,0.00%
345,"Jan 21, 2020",97.53,97.63,97.66,97.39,-0.08%
346,"Jan 20, 2020",97.61,97.64,97.73,97.58,-0.03%
347,"Jan 19, 2020",97.64,97.3,97.66,97.27,0.33%
348,"Jan 18, 2020",97.64,97.3,97.66,97.27,0.33%
